research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type,indicator
% of HHs reporting sufficient waste removal services being available,% of households reporting at least once per week solid waste was collected by municipality.,district,population_group,categorical,waste_frequency_recoded,numerical,direct_reporting,% of HHs reporting sufficient waste removal services being available
% of HHs reporting sufficient waste removal services being available,% of HHs reporting sufficient containers being available,district,population_group,categorical,sufficient_containers_recoded,numerical,direct_reporting,% HH who confine their waste 
% of HH facing environmental sanitation problems,% HH with access to safe latrine waste disposal,district,population_group,categorical,safe_waste_disposal,numerical,direct_reporting,% HH with access to safe latinre waste disposal
% of HH facing environmental sanitation problems,% HH with access to safe latrine waste disposal,district,population_group,categorical,unsafe_waste_disposal,numerical,direct_reporting,% HH with access to safe latinre waste disposal
% of HHs reporting sufficient waste removal services being available,% of households reporting at least once per week their waste receptables were overflowing/too full,district,population_group,categorical,receptacles_frequency_recoded,numerical,direct_reporting,
To what extent are the WASH infrastructure and facilities in out-of-camp locations across Iraq adhering to minimum WASH Cluster standards and meeting the needs of the population,What percentage of households have witnessed visible sewage in the area over the last 30 days? Should be 0%,district,population_group,categorical,sewage_visability_recoded,numerical,direct_reporting,% of HH facing environmental sanitation problems
% of HH facing environmental sanitation problems,% of HHs living in areas where solid waste was visible around their accomodation (30 meters of less) in the last 30 days,district,population_group,categorical,waste_visibility.solid_waste,numerical,direct_reporting,% of HH facing environmental sanitation problems
% of HH facing environmental sanitation problems,% of HHs living in areas where stagnant water was visible around their accomodation (30 meters of less) in the last 30 days,district,population_group,categorical,waste_visibility.stagnant_water,numerical,direct_reporting,% of HH facing environmental sanitation problems
% HH with experience of floods,% HH that have seen floods in the 12 month prior to data collection,district,population_group,categorical,experienced_floods_recoded,numerical,direct_reporting,% HH with experience of floods
% HH with experience of floods,% HH that have seen floods in the 12 month prior to data collection,district,population_group,categorical,flood_experienced_shelter,numerical,direct_reporting,% HH with experience of floods
% HH with experience of floods,% of households with damaged shelter due to floods,district,population_group,categorical,shelter_affected_recoded,numerical,direct_reporting,% HH with experience of floods
% HH per ways in which daily activities were affected,Children could not get to school,district,population_group,categorical,how_activities_affected.school_inaccessible,numerical,direct_reporting,% HH with experience of floods
% HH per ways in which daily activities were affected,Mobility of adults affected,district,population_group,categorical,how_activities_affected.mobility,numerical,direct_reporting,% HH with experience of floods
% HH per ways in which daily activities were affected,Electricity services negatively affected,district,population_group,categorical,how_activities_affected.electricity,numerical,direct_reporting,% HH with experience of floods
% HH per ways in which daily activities were affected,Water services negatively afftected,district,population_group,categorical,how_activities_affected.water,numerical,direct_reporting,% HH with experience of floods
% HH per ways in which daily activities were affected,Affected livelihoods due to damage to agricultural land,district,population_group,categorical,how_activities_affected.agriculture,numerical,direct_reporting,% HH with experience of floods
% HH per ways in which daily activities were affected,People getting sick,district,population_group,categorical,how_activities_affected.sickness,numerical,direct_reporting,% HH with experience of floods
% HH per ways in which daily activities were affected,Loss/damage to households' items,district,population_group,categorical,how_activities_affected.loss,numerical,direct_reporting,% HH with experience of floods
% HH per ways in which daily activities were affected,% HHs reporting they feel better prepared if they faced another flood,district,population_group,categorical,flood_improved_recoded,numerical,direct_reporting,% HH with experience of floods
